web-scraper-order,web-scraper-start-url,artifact_links,artifact_links-href,artifact_metadata
1677785042-269,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,PN0009-PN0015,https://digital.libraries.uc.edu/oesper/museum/case13/shelf_01/PN0009-PN0015/index.php,"Location: Case 13, Pneumatic Chemistry III (Top shelf)



Item: No. PN0009-PN0015, Assorted multi-necked Woulfe bottles



Inventor: Peter Woulfe, c. 1773


Dimensions: Largest: 41/2"" x 6"" x 101/2""; smallest: 2"" x 2"" x 23/4""



Period Represented: c. 1820-1920 




Source: Various: Bert Ramsay, University of East Michigan-Ypsilanti;  De Pauw University, Greencastle, IN; Murray State University, Murray, KY. 



Status: Original



Condition: Good"
1677785044-270,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,B0019,https://digital.libraries.uc.edu/oesper/museum/case03/shelf_03/B0019/index.php,"Location: Case 03, Balances III (Bottom shelf, right)



Item: No. B0019, Set of gold-plated analytical weights (1-100 grams, plus fractionals and beam riders) and ivory-tipped tweezer




Dimensions: Box: 1.75"" x 3.63"" x 5.5""



Period Represented: circa 1930




Source: Donated by William Gilbert, Department of Chemistry, University of Cincinnati



Status: Original 



Condition: Good. Lid of box is cracked"
1677785046-271,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,B0018,https://digital.libraries.uc.edu/oesper/museum/case03/shelf_03/B0018/index.php,"Location: Case 03, Balances III (Bottom shelf, left)



Item: No. B0018, Set of nickel-plated analytical weights (1-50 grams, plus fractionals) and horn tweezer



Dimensions: Box: 2"" x 4"" x 5""



Period Represented: circa 1930



Manufacturer: Inside of box stamped ""F. Hopken and Son, Jersey City, NJ.""



Source: Donated by Brad Glorvigen, University of St. Thomas, St. Paul, MN.



Status: Original



Condition: Good. Lid of box is heavily scratched"
1677785048-272,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,B0012,https://digital.libraries.uc.edu/oesper/museum/case02/shelf_03/B0012/index.php,"Location: Case 02, Balances II (Bottom shelf, right)



Item: No. B0012, Set of platinum-plated analytical weights (1-50 grams, plus fractionals and beam riders) and ivory-tipped tweezer



Dimensions: Box: 2"" x 4"" x 5"" 



Period Represented: circa 1930



Source: Donated by G.C. Dehne, Capital University, Columbus OH.  Decal indicates that it originally belonged to Purdue University



Status: Original



Condition: Excellent"
1677785050-273,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,B0011,https://digital.libraries.uc.edu/oesper/museum/case02/shelf_03/B0011/index.php,"Location: Case 02, Balances II (Bottom shelf, left)



Item: No. B0011, Set of platinum-plated analytical weights  (1-50 grams, plus fractionals and beam rider) and ivory-tipped tweezer



Dimensions: Box: 1.75"" x 3.5"" x 4.75""



Period Represented: circa 1920



Manufacturer: ""Made in Germany"" stamped inside of box



Source: Donated by Darl McDaniel, University of Cincinnati Chemistry Department



Status: Original



Condition: Excellent"
1677785052-274,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,B0004,https://digital.libraries.uc.edu/oesper/museum/case01/shelf_02/B0004/index.php,"Location: Case 01, Balances I (Bottom shelf, left)



Item: No. B0004, Set of six nested brass cup weights



Inventor: Traditional.  Design goes back at least to Roman times


Dimensions: Largest weight: 2.5"", smallest weight: 1""



Period Represented: circa 1880



Source: Donated by Oberlin Historical Society



Status: Original



Condition: Fair. Extensive tarnishing"
1677785054-275,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,V0006-V0009,https://digital.libraries.uc.edu/oesper/museum/case05/shelf_02/V0006-V0009/index.php,"Location: Case 05, Specific Gravity and Volumetric Apparatus (Center shelf, center)



Item: No. V0006-V0009, Assorted volumetric flasks



Inventor: Described by F. Mohr in 1855 


Dimensions: Largest: 500 mL; smallest 20 mL 



Period Represented: c. 1890, most marked in cc



Source: Donated by DePauw University Chemistry Department 



Status: Original



Condition: Excellent"
1677785056-276,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0011,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_02/EC0011/index.php,"Location: Case 16, Electrochemistry (Bottom shelf, far right foreground)



Item: No. EC0011, Dichromate cell (Grenet form)



Inventor: J. Warington, 1842


Dimensions: 4"" x 4"" x 8"" 



Period Represented:  c. 1880 



Manufacturer: A 6 C 816 molded into the bottom of the glass container



Source: Donated by the Oberlin College Chemistry Department



Status: Original



Condition: Excellent"
1677785059-277,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0009,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_02/EC0009/index.php,"Location: Case 16, Electrochemistry (Bottom shelf, right foreground)



Item: No. EC0009, Bunsen carbon cell



Inventor: R. Bunsen, 1841 


Dimensions: 4"" x 4"" x 71⁄2""



Period Represented: c. 1860 




Source: Various: Carbon cathode and ceramic spacer donated by the Oberlin College Chemistry Department, battery jar donated the University of Cincinnati Biology Department, Zn anode is a restoration 



Status: Restoration



Condition: Fair"
1677785061-278,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0007,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_02/EC0007/index.php,"Location: Case 16, Pneumatic Chemistry I (Bottom shelf,  left foreground)



Item: No. EC0007, Grove nitric acid cell



Inventor: W. R. Grove, 1839 


Dimensions: 11/2"" x 31/2"" x 51/8"" 



Period Represented: c. 1850 




Source: Various: ceramic spacer donated by the Oberlin College Chemistry Department, battery jar by the University of Cincinnati Biology Department, wires and metal electrodes are modern replacements 




Status: Restoration



Condition: Excellent"
1677785063-279,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0005,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_02/EC0005/index.php,"Location: Case 16, Electrochemistry (Bottom shelf, far left foreground)



Item: No. EC0005, Voltaic pile



Inventor: A. Volta, 1800 


Dimensions: 43/4"" x 43/4"" x15""



Period Represented: c. 1820 



Source: Oesper Purchase 



Status: Reproduction by R. Thomas



Condition: Excellent"
